player,player_id,team,position,age,rookie,war_mean_2021,war_mean_2022,war_mean_2023,war_mean_2024,war_mean_2025,5_year_WAR,2021_category
Xavier Tillman,tillmxa01,Grizzlies,PF,22.056126,1,0.8,1.6,2.3,2.6,2.7,10.1,GOOD PROSPECT
Ivica Zubac,zubaciv01,Clippers,C,23.876797,,2.0,1.8,2.3,2.1,1.8,10.0,ROTATION PLAYER
Nemanja Bjelica,bjeline01,Kings,PF,32.733746,,3.7,2.6,1.8,1.1,0.7,10.0,KEY ROLE PLAYER
Kendrick Nunn,nunnke01,Heat,SG,25.500341,,2.3,2.3,2.0,1.8,1.5,9.9,ROTATION PLAYER
Jeremiah Martin,martije02,Nets,PG,24.621492,,1.8,2.1,2.2,1.9,1.9,9.9,KEY ROLE PLAYER
Nerlens Noel,noelne01,Knicks,C,26.81451,,2.6,2.3,1.8,1.7,1.4,9.8,ROTATION PLAYER
Talen Horton-Tucker,hortota01,Lakers,SF,20.186174,,0.8,0.8,1.8,3.1,3.2,9.7,UP-AND-COMER
Kira Lewis Jr,lewiski01,Pelicans,PG,19.824778,1,0.1,1.6,2.2,2.6,3.2,9.7,GOOD PROSPECT
Dennis Schroder,schrode01,Lakers,PG,27.381247,,2.8,2.5,1.9,1.5,0.9,9.6,AVERAGE STARTER
Frank Ntilikina,ntilila01,Knicks,PG,22.516085,,1.3,1.9,1.9,2.4,2.1,9.6,ROTATION PLAYER
Arnoldas Kulboka,kulboar01,,SF,23.077345,1,1.0,1.5,2.5,1.8,2.7,9.6,OK PROSPECT
Jalen Smith,smithja04,Suns,C,20.881588,1,0.5,1.5,2.2,2.5,2.9,9.6,GOOD PROSPECT
Dorian Finney-Smith,finnedo01,Mavericks,PF,27.748117,,2.7,2.3,1.9,1.6,1.0,9.5,ROTATION PLAYER
RJ Hampton,hamptrj01,Nuggets,PG,19.983572,1,0.8,1.0,1.8,2.9,3.0,9.5,GOOD PROSPECT
Jeremy Lamb,lambje01,Pacers,SG,28.676249,,2.4,2.2,2.1,1.6,1.1,9.5,ROTATION PLAYER
Cameron Johnson,johnsca02,Suns,PF,24.917179,,1.9,2.0,2.2,1.8,1.6,9.4,ROTATION PLAYER
Daniel Theis,theisda01,Celtics,C,28.829569,,2.7,2.3,1.9,1.4,1.1,9.4,ROTATION PLAYER
