player,player_id,team,position,age,rookie,war_mean_2021,war_mean_2022,war_mean_2023,war_mean_2024,war_mean_2025,5_year_WAR,2021_category
A.J. Lawson,aj-lawson-12,,SG,19.548254,1,0.4,0.6,1.1,1.3,1.3,4.7,OK PROSPECT
Dzanan Musa,musadz01,Pistons,SF,21.738535,,0.4,0.8,1.1,1.3,1.2,4.7,PROJECT
John Henson,hensojo01,,C,30.097193,,1.6,1.2,0.9,0.6,0.3,4.7,ROTATION PLAYER
Yam Madar,madarya01,,SG,20.11499,1,0.1,0.4,0.7,1.7,1.8,4.6,OK PROSPECT
Frank Mason,masonfr01,,PG,26.833675,,1.1,1.0,0.9,0.9,0.7,4.6,ROTATION PLAYER
Reggie Perry,perryre01,Nets,PF,20.867897,1,0.1,0.6,1.1,1.3,1.5,4.5,OK PROSPECT
George Hill,hillge01,Thunder,PG,34.748802,,2.4,1.3,0.5,0.3,0.1,4.5,KEY ROLE PLAYER
Terance Mann,mannte01,Clippers,SG,24.290213,,0.8,0.9,1.0,1.0,0.9,4.5,ROTATION PLAYER
Cedi Osman,osmande01,Cavaliers,SF,25.820671,,1.1,1.2,0.9,0.7,0.6,4.5,SCRUB
Justin James,jamesju01,Kings,SG,24.021902,,0.6,0.9,0.9,1.1,0.9,4.5,ROTATION PLAYER
Daniel Gafford,gaffoda01,Bulls,C,22.338125,,0.8,0.9,1.1,1.0,0.6,4.5,ROTATION PLAYER
Pat Connaughton,connapa01,Bucks,SG,28.071184,,1.2,1.0,0.9,0.8,0.5,4.4,ROTATION PLAYER
Rodions Kurucs,kurucro01,Nets,SF,22.989733,,0.8,0.9,1.0,0.8,0.8,4.3,ROTATION PLAYER
DeAndre' Bembry,bembrde01,Raptors,SF,26.581793,,1.1,0.9,0.9,0.7,0.7,4.3,ROTATION PLAYER
Jerome Robinson,robinje01,Wizards,SG,23.942505,,0.6,0.9,0.9,1.0,0.8,4.3,PROJECT
Dante Exum,exumda01,Cavaliers,PG,25.557837,,0.8,1.0,0.9,0.9,0.7,4.3,ROTATION PLAYER
Nassir Little,littlna01,Trail Blazers,PF,20.974674,,0.1,0.5,1.0,1.4,1.3,4.3,PROJECT
Marc Gasol,gasolma01,Lakers,C,36.008213,,2.5,1.0,0.4,0.2,0.1,4.3,SCRAPPY VETERAN
Isaiah Roby,robyis01,Thunder,PF,23.993155,1,0.6,0.9,0.9,1.0,0.8,4.2,MARGINAL PROSPECT
Darius Garland,garlada01,Cavaliers,PG,21.01848,,-0.2,0.5,1.0,1.4,1.5,4.2,PROJECT
Paul Watson,watsopa01,Raptors,SG,26.091719,,0.9,0.9,0.8,0.8,0.8,4.2,ROTATION PLAYER
Marcus Morris Sr.,morrima03,Clippers,PF,31.416838,,1.8,1.2,0.7,0.4,0.2,4.2,ROTATION PLAYER
Miles Bridges,bridgmi02,Hornets,PF,22.869268,,0.5,0.9,1.1,0.9,0.8,4.2,PROJECT
Immanuel Quickley,quickim01,Knicks,PG,21.629021,1,-0.1,0.6,1.0,1.3,1.4,4.2,OK PROSPECT
Taurean Prince,princta02,Nets,PF,26.866529,,1.3,1.0,0.8,0.6,0.4,4.2,ROTATION PLAYER
Justinian Jessup,jessuju01,,SF,22.696783,1,0.2,0.7,0.9,1.1,1.2,4.2,MARGINAL PROSPECT
Dennis Smith Jr.,smithde03,Knicks,PG,23.186859,,0.4,0.8,1.0,1.0,0.9,4.1,PROJECT
Robert Woodard II,woodaro01,Kings,SG,21.363449,1,0.1,0.6,0.9,1.2,1.3,4.1,OK PROSPECT
Tyus Battle,battlty01,,SG,22.357288,1,0.6,0.8,0.9,1.0,0.8,4.1,MARGINAL PROSPECT
David Nwaba,nwabada01,Rockets,SG,28.049282,,0.8,1.0,0.9,0.9,0.5,4.1,ROTATION PLAYER
Jawun Evans,evansja01,,PG,24.520191,,0.3,0.5,0.7,1.3,1.3,4.1,ROTATION PLAYER
Justin Jackson,jacksju02,,PF,21.952087,1,0.2,0.6,0.9,0.8,1.5,4.1,OK PROSPECT
Markus Howard,howarma02,Nuggets,PG,21.919233,1,0.3,0.6,0.9,0.9,1.3,4.0,OK PROSPECT
Julius Randle,randlju01,Knicks,PF,26.176592,,1.1,1.1,0.8,0.6,0.4,4.0,DUBIOUS STARTER
Daryl Macon,maconda01,,PG,25.177277,,0.4,0.9,0.9,0.8,0.9,4.0,ROTATION PLAYER
Jaylen Adams,adamsja01,Bucks,PG,24.747433,,0.5,0.8,0.8,1.1,0.8,3.9,ROTATION PLAYER
Paul Millsap,millspa01,Nuggets,PF,35.975361,,2.3,1.0,0.4,0.2,0.1,3.9,SCRAPPY VETERAN
Marcos Louzada,louzama01,,SG,21.984941,1,0.1,0.4,0.9,1.5,1.0,3.9,OK PROSPECT
Devon Hall,hallde01,,PG,25.574265,,0.4,0.8,1.0,0.9,0.8,3.9,ROTATION PLAYER
DaQuan Jeffries,jeffrda01,Kings,SF,23.425051,,0.7,0.8,0.8,0.8,0.6,3.9,ROTATION PLAYER
Nico Mannion,mannini01,Warriors,PG,19.887747,1,-0.3,0.5,0.7,1.3,1.7,3.9,OK PROSPECT
Chris Clemons,clemoch01,Rockets,PG,23.529089,,0.6,0.9,0.8,0.9,0.7,3.8,ROTATION PLAYER
Tyler Ennis,ennisty01,,PG,26.442163,,0.7,0.8,0.8,0.8,0.8,3.8,ROTATION PLAYER
Langston Galloway,gallola01,Suns,SG,29.149897,,1.3,1.1,0.8,0.4,0.2,3.8,ROTATION PLAYER
Serge Ibaka,ibakase01,Clippers,PF,31.373032,,1.6,1.2,0.6,0.2,0.2,3.8,ROTATION PLAYER
DJ Hogg,hoggdj01,,PF,22.412046,1,0.3,0.5,0.9,0.9,1.3,3.8,OK PROSPECT
John Wall,walljo01,Rockets,PG,30.40657,,0.8,1.0,0.9,0.5,0.5,3.8,ROTATION PLAYER
JaVale McGee,mcgeeja01,Cavaliers,C,33.037647,,1.9,0.8,0.6,0.4,0.1,3.7,ROTATION PLAYER
Klay Thompson,thompkl01,Warriors,SG,30.98152,,1.3,1.0,0.8,0.5,0.2,3.7,ROTATION PLAYER
Jaylen Barford,barfoja01,,SG,23.025324,1,0.5,0.5,1.0,0.7,1.1,3.7,OK PROSPECT
Thaddeus Young,youngth01,Bulls,PF,32.616016,,1.7,1.1,0.6,0.3,0.1,3.7,ROTATION PLAYER
Ben McLemore,mclembe01,Rockets,SF,27.972622,,1.1,0.8,0.7,0.6,0.4,3.7,ROTATION PLAYER
Isaiah Stewart,stewais01,Pistons,C,19.698835,1,-0.4,0.3,0.9,1.2,1.7,3.7,OK PROSPECT
Anzejs Pasecniks,pasecan01,Wizards,C,25.119781,,0.7,0.7,0.9,0.7,0.6,3.6,ROTATION PLAYER
Nicolas Claxton,claxtni01,Nets,C,21.79603,,0.2,0.7,0.7,1.1,0.9,3.6,PROJECT
Ashton Hagans,haganas01,Timberwolves,PG,21.571526,1,0.1,0.6,0.7,1.0,1.2,3.5,MARGINAL PROSPECT
Theo Pinson,pinsoth01,Knicks,SG,25.242985,,0.5,0.7,0.8,0.8,0.7,3.5,ROTATION PLAYER
Chandler Hutchison,hutchch01,Bulls,PF,24.769337,,0.7,0.7,0.9,0.7,0.6,3.5,PROJECT
Mason Jones,jonesma05,Rockets,SG,22.53525,1,0.2,0.5,0.8,0.9,1.0,3.5,MARGINAL PROSPECT
Yogi Ferrell,ferreyo01,,SG,27.734428,,0.9,0.9,0.6,0.7,0.4,3.5,ROTATION PLAYER
Tyrese Maxey,maxeyty01,76ers,PG,20.243668,1,-0.6,0.3,0.8,1.3,1.6,3.5,OK PROSPECT
Tyler Ulis,ulisty01,,PG,25.075975,,0.7,0.8,0.7,0.7,0.5,3.4,ROTATION PLAYER
Rashad Vaughn,vaughra01,,SG,24.462696,,0.5,0.6,0.7,0.9,0.7,3.4,ROTATION PLAYER
Wenyen Gabriel,gabriwe01,Pelicans,PF,23.854895,,0.5,0.7,0.8,0.8,0.6,3.4,ROTATION PLAYER
Gary Payton II,paytoga02,,PG,28.169746,,0.7,0.7,0.8,0.8,0.5,3.4,ROTATION PLAYER
Alex Len,lenal01,Raptors,C,27.63039,,0.9,0.8,0.7,0.6,0.4,3.4,ROTATION PLAYER
Sagaba Konate,konatsa01,,C,22.872005,1,0.4,0.6,0.6,0.9,0.8,3.4,MARGINAL PROSPECT
Kyle Kuzma,kuzmaky01,Lakers,PF,25.527721,,0.8,0.8,0.8,0.5,0.4,3.4,SCRUB
Justin Robinson,robinju01,,PG,24.305269,1,0.6,0.8,0.6,0.7,0.6,3.3,MARGINAL PROSPECT
Elijah Hughes,hugheel01,Jazz,SF,22.899384,1,0.1,0.5,0.8,0.9,1.0,3.3,MARGINAL PROSPECT
Tres Tinkle,tinkltr01,,SF,24.665297,1,0.3,0.6,0.8,0.8,0.8,3.3,MARGINAL PROSPECT
Kobi Simmons,simmoko01,,PG,23.581108,,0.3,0.6,0.8,0.9,0.7,3.3,ROTATION PLAYER
Jemerrio Jones,jonesje01,,SF,25.817932,,0.5,0.8,0.8,0.7,0.5,3.3,<SHRUGGIE>
Jordan Nwora,nworajo01,Bucks,PF,23.398357,1,0.4,0.7,0.7,0.8,0.7,3.3,MARGINAL PROSPECT
Dragan Bender,bendedr01,,PF,23.208761,,0.6,0.6,0.7,0.7,0.6,3.3,PROJECT
Isaiah Whitehead,whiteis01,,PG,25.905544,,0.4,0.7,0.7,0.8,0.7,3.3,ROTATION PLAYER
Bojan Bogdanovic,bogdabo02,Jazz,SF,31.791924,,1.3,0.9,0.6,0.3,0.2,3.3,ROTATION PLAYER
Grayson Allen,allengr01,Grizzlies,SG,25.319645,,0.6,0.7,0.8,0.6,0.6,3.2,SCRUB
Oshae Brissett,brissos01,Raptors,SF,22.620123,,0.6,0.6,0.7,0.7,0.7,3.2,ROTATION PLAYER
Collin Sexton,sextoco01,Cavaliers,PG,22.07803,,0.0,0.6,0.5,1.1,1.0,3.2,PROJECT
Daniel Oturu,oturuda01,Clippers,C,21.368925,1,0.0,0.3,0.8,0.9,1.1,3.2,OK PROSPECT
Charles Bassey,charles-bassey-1,,C,19.282682,1,0.0,0.5,0.4,1.4,1.0,3.2,GOOD PROSPECT
Juan Toscano-Anderson,toscaju01,Warriors,SF,27.813826,,0.9,0.7,0.6,0.6,0.3,3.2,ROTATION PLAYER
Dean Wade,wadede01,Cavaliers,PF,25.197809,1,0.5,0.7,0.7,0.7,0.5,3.2,MARGINAL PROSPECT
Cheick Diallo,diallch01,,PF,24.386038,,0.5,0.7,0.8,0.7,0.5,3.1,PROJECT
Kent Bazemore,bazemke01,Warriors,SF,31.589323,,1.4,0.9,0.5,0.3,0.1,3.1,ROTATION PLAYER
Kaleb Wesson,wessoka01,Warriors,C,21.51403,1,0.1,0.4,0.7,0.8,1.0,3.1,OK PROSPECT
Andrew Harrison,harrian01,,PG,26.264202,,0.5,0.6,0.7,0.7,0.6,3.1,ROTATION PLAYER
Mfiondu Kabengele,kabenmf01,Clippers,C,24.466803,1,0.4,0.7,0.7,0.7,0.6,3.1,MARGINAL PROSPECT
DeMar DeRozan,derozde01,Spurs,SF,31.488022,,1.4,0.8,0.5,0.2,0.1,3.1,DUBIOUS STARTER
Wade Baldwin IV,baldwwa01,,PG,24.845995,,0.5,0.6,0.8,0.7,0.4,3.0,ROTATION PLAYER
Khem Birch,birchkh01,Magic,C,28.344969,,0.9,0.7,0.6,0.5,0.3,3.0,ROTATION PLAYER
Sindarius Thornwell,thornsi01,Pelicans,SG,26.214922,,0.7,0.7,0.6,0.6,0.5,3.0,ROTATION PLAYER
Rui Hachimura,hachiru01,Wizards,PF,22.98152,,0.3,0.6,0.8,0.7,0.7,3.0,PROJECT
Terrance Ferguson,fergute01,76ers,SG,22.713211,,0.4,0.6,0.6,0.7,0.6,3.0,PROJECT
Daniel Hamilton,hamilda02,,SG,25.486652,,0.4,0.6,0.7,0.6,0.6,2.9,ROTATION PLAYER
Kevon Looney,looneke01,Warriors,PF,24.988363,,0.5,0.6,0.7,0.6,0.4,2.8,DEFENSIVE SPECIALIST
Nicolas Batum,batumni01,Clippers,SG,32.134155,,1.3,0.8,0.4,0.3,0.1,2.8,ROTATION PLAYER
Tyrique Jones,tyrique-jones-1,,PF,23.750854,1,0.2,0.5,0.6,0.7,0.8,2.8,MARGINAL PROSPECT
Noah Vonleh,vonleno01,,PF,25.442848,,0.6,0.7,0.6,0.5,0.4,2.8,ROTATION PLAYER
Nigel Williams-Goss,willini01,,PG,23.379192,1,0.2,0.5,0.7,0.6,0.7,2.8,MARGINAL PROSPECT
Sterling Brown,brownst02,Rockets,SF,25.976728,,0.5,0.7,0.6,0.5,0.5,2.8,SCRUB
Skal Labissiere,labissk01,,PF,24.876112,,0.6,0.6,0.7,0.5,0.4,2.8,PROJECT
Austin Rivers,riverau01,Knicks,SG,28.503765,,0.9,0.7,0.6,0.4,0.2,2.8,SCRUB
Trevon Duval,duvaltr01,,PG,23.498287,1,0.1,0.3,0.7,0.6,1.1,2.8,GOOD PROSPECT
Avery Bradley,bradlav01,Heat,SG,30.184805,,1.3,0.8,0.4,0.2,0.1,2.8,ROTATION PLAYER
Isaiah Briscoe,briscis01,,PG,24.804928,,0.4,0.5,0.6,0.6,0.6,2.8,ROTATION PLAYER
Myles Powell,powelmy01,Knicks,SG,23.572895,1,0.2,0.5,0.6,0.7,0.8,2.7,MARGINAL PROSPECT
Andre Roberson,roberan03,,SF,29.163586,,0.8,0.7,0.6,0.4,0.2,2.7,<SHRUGGIE>
Carsen Edwards,edwarca01,Celtics,SG,22.893908,,0.4,0.6,0.6,0.6,0.6,2.7,PROJECT
Trey Lyles,lylestr01,Spurs,PF,25.242985,,0.6,0.7,0.6,0.5,0.4,2.7,SCRUB
Rodney Hood,hoodro01,Trail Blazers,SG,28.284737,,0.5,0.6,0.8,0.5,0.3,2.7,SCRUB
Reggie Jackson,jacksre01,Clippers,PG,30.798084,,1.2,0.8,0.4,0.2,0.1,2.7,ROTATION PLAYER
T.J. McConnell,mccontj01,Pacers,PG,28.856947,,0.9,0.7,0.6,0.3,0.2,2.7,ROTATION PLAYER
Jordan Poole,poolejo01,Warriors,SG,21.623545,,-0.4,0.4,0.8,0.9,1.0,2.7,PROJECT
Justin Patton,pattoju01,Bucks,C,20.635866,1,-0.2,0.2,0.6,0.9,1.1,2.7,OK PROSPECT
Dwight Howard,howardw01,76ers,C,35.151268,,1.4,0.7,0.2,0.2,0.2,2.7,SCRAPPY VETERAN
Ty-Shon Alexander,alexaty01,Suns,SG,22.548939,1,0.1,0.4,0.6,0.7,0.8,2.7,MARGINAL PROSPECT
Blake Griffin,griffbl01,Pistons,PF,31.882273,,0.9,0.6,0.6,0.3,0.3,2.6,ROTATION PLAYER
Zach Norvell,norveza01,Bulls,SG,24.146475,1,0.4,0.6,0.6,0.6,0.5,2.6,MARGINAL PROSPECT
Lonnie Walker IV,walkelo01,Spurs,SG,22.135523,,0.1,0.5,0.6,0.7,0.7,2.6,PROJECT
Sam Merrill,merrisa01,Bucks,SG,24.717316,1,0.2,0.5,0.7,0.6,0.6,2.6,MARGINAL PROSPECT
Elie Okobo,okoboel01,,PG,23.277208,,0.2,0.5,0.6,0.6,0.6,2.6,PROJECT
Trevelin Queen,queentr01,,SG,23.93429,1,0.2,0.4,0.6,0.7,0.7,2.6,MARGINAL PROSPECT
Justin Anderson,anderju01,76ers,SF,27.203285,,0.8,0.6,0.4,0.5,0.4,2.6,ROTATION PLAYER
Dion Waiters,waitedi01,,SG,29.14716,,1.0,0.7,0.4,0.3,0.2,2.6,ROTATION PLAYER
Derrick Walton Jr.,waltode01,,PG,25.83436,,0.5,0.5,0.6,0.5,0.4,2.6,ROTATION PLAYER
Thon Maker,makerth01,Cavaliers,C,23.934292,,0.4,0.6,0.6,0.6,0.5,2.6,PROJECT
Tristan Thompson,thomptr01,Celtics,C,29.891855,,1.1,0.7,0.4,0.3,0.0,2.6,ROTATION PLAYER
Boban Marjanovic,marjabo01,Mavericks,C,32.465435,,1.2,0.6,0.5,0.2,0.1,2.6,<SHRUGGIE>
Shane Larkin,larkish01,,PG,28.334019,,0.7,0.6,0.6,0.5,0.3,2.5,ROTATION PLAYER
Alex Abrines,abrinal01,,SG,27.50445,,0.6,0.6,0.5,0.6,0.4,2.5,ROTATION PLAYER
Zeke Nnaji,nnajize01,Nuggets,PF,20.062969,1,-0.4,0.1,0.6,0.9,1.2,2.5,OK PROSPECT
Torrey Craig,craigto01,Bucks,SF,30.121834,,1.0,0.7,0.4,0.3,0.1,2.5,ROTATION PLAYER
Brad Wanamaker,wanambr01,Warriors,PG,31.523615,,0.9,0.7,0.4,0.2,0.1,2.4,ROTATION PLAYER
Brandon Goodwin,goodwbr01,Hawks,PG,25.336071,,0.4,0.5,0.6,0.5,0.4,2.4,SCRUB
Kay Felder,feldeka01,,PG,25.848049,,0.3,0.3,0.6,0.7,0.5,2.4,ROTATION PLAYER
Killian Tillie,tilliki02,Grizzlies,PF,23.913073,1,0.3,0.5,0.5,0.6,0.5,2.4,MARGINAL PROSPECT
Jon Teske,teskejo01,Magic,C,23.748117,1,0.2,0.4,0.5,0.6,0.7,2.4,MARGINAL PROSPECT
Freddie Gillespie,gillefr01,Mavericks,PF,23.635864,1,0.2,0.4,0.6,0.6,0.6,2.4,MARGINAL PROSPECT
Maurice Harkless,harklma01,Heat,SF,27.728952,,0.9,0.6,0.4,0.4,0.1,2.4,ROTATION PLAYER
Devin Robinson,robinde01,,SF,25.908281,,0.7,0.7,0.4,0.3,0.3,2.4,ROTATION PLAYER
Reggie Bullock,bullore01,Knicks,SG,29.883642,,0.8,0.7,0.4,0.3,0.1,2.4,ROTATION PLAYER
Kyle Guy,guyky01,Kings,SG,24.475016,1,0.3,0.5,0.5,0.6,0.5,2.4,MARGINAL PROSPECT
Chasson Randle,randlch01,,PG,27.989048,,0.6,0.6,0.4,0.4,0.2,2.3,ROTATION PLAYER
Mike Muscala,muscami01,Thunder,C,29.590691,,0.8,0.7,0.4,0.3,0.2,2.3,ROTATION PLAYER
Walter Lemon Jr.,lemonwa01,,PG,28.520191,,0.6,0.6,0.5,0.4,0.2,2.3,ROTATION PLAYER
JaKarr Sampson,sampsja02,Pacers,SF,27.871321,,0.7,0.5,0.4,0.4,0.2,2.3,ROTATION PLAYER
Demetrius Jackson,jacksde01,,PG,26.403833,,0.4,0.4,0.5,0.5,0.5,2.3,ROTATION PLAYER
Jared Harper,harpeja01,Knicks,PG,22.383984,1,0.3,0.4,0.5,0.4,0.6,2.2,MARGINAL PROSPECT
Mason Plumlee,plumlma01,Pistons,C,30.913073,,0.9,0.6,0.4,0.2,0.1,2.2,ROTATION PLAYER
Guerschon Yabusele,yabusgu01,,PF,25.127995,,0.4,0.5,0.5,0.4,0.4,2.2,ROTATION PLAYER
Rawle Alkins,alkinra01,Pelicans,SG,23.26078,,0.2,0.4,0.5,0.5,0.5,2.2,PROJECT
Nicolo Melli,mellini01,Pelicans,C,30.017796,,0.8,0.6,0.4,0.2,0.1,2.2,ROTATION PLAYER
Tyreke Evans,evansty01,,SG,31.370295,,1.0,0.6,0.4,0.2,0.1,2.2,ROTATION PLAYER
Wes Iwundu,iwundwe01,Mavericks,SF,26.119097,,0.4,0.6,0.5,0.4,0.4,2.2,SCRUB
Jaylen Morris,morrija01,,SG,25.371664,,0.3,0.4,0.5,0.5,0.5,2.2,ROTATION PLAYER
Khyri Thomas,thomakh01,,SG,24.736483,,0.3,0.4,0.5,0.5,0.4,2.2,PROJECT
Isaiah Taylor,taylois01,,PG,26.562628,,0.4,0.4,0.5,0.5,0.4,2.2,ROTATION PLAYER
Jordan Bone,bonejo01,Magic,PG,24.239561,1,0.3,0.5,0.4,0.5,0.5,2.2,MARGINAL PROSPECT
Al-Farouq Aminu,aminual01,Magic,PF,30.365503,,0.9,0.5,0.4,0.3,0.1,2.2,ROTATION PLAYER
Briante Weber,weberbr01,,PG,28.093086,,0.4,0.4,0.6,0.7,0.2,2.2,ROTATION PLAYER
Jerian Grant,grantje02,Rockets,PG,28.314854,,0.6,0.5,0.5,0.4,0.2,2.2,ROTATION PLAYER
Frank Kaminsky,kaminfr01,Kings,PF,27.830254,,0.6,0.5,0.4,0.4,0.2,2.2,SCRUB
Ersan Ilyasova,ilyaser01,,PF,33.719372,,1.1,0.6,0.3,0.1,0.0,2.1,ROTATION PLAYER
Henry Ellenson,ellenhe01,Raptors,PF,24.052019,,0.4,0.7,0.6,0.3,0.1,2.1,<SHRUGGIE>
Anfernee Simons,simonan01,Trail Blazers,SG,21.653662,,-0.4,0.3,0.6,0.8,0.8,2.1,PROJECT
Alize Johnson,johnsal02,Raptors,PF,24.780287,,0.4,0.4,0.5,0.4,0.4,2.1,PROJECT
Vernon Carey Jr,careyve01,Hornets,C,19.93429,1,-0.3,0.1,0.6,0.8,1.0,2.1,OK PROSPECT
Cameron Reynolds,reynoca01,Spurs,SG,25.984941,,0.4,0.4,0.5,0.4,0.4,2.1,ROTATION PLAYER
JJ Redick,redicjj01,Pelicans,SG,36.607803,,1.2,0.6,0.2,0.2,0.0,2.1,SCRAPPY VETERAN
James Palmer,palmeja01,,SF,23.504448,1,0.3,0.4,0.5,0.5,0.4,2.1,MARGINAL PROSPECT
Ryan Broekhoff,broekry01,,SF,30.444901,,0.8,0.5,0.4,0.3,0.2,2.1,ROTATION PLAYER
Jordan Ford,fordjo01,,PG,22.688568,1,0.0,0.3,0.5,0.6,0.7,2.1,MARGINAL PROSPECT
Johnathan Motley,motlejo01,Suns,PF,25.749487,,0.3,0.7,0.5,0.5,0.2,2.1,SCRUB
Vince Edwards,edwarvi01,,PF,25.82546,1,0.4,0.2,0.6,0.2,0.6,2.1,OK PROSPECT
Aaron Harrison,harriaa01,,SG,26.264202,,0.3,0.4,0.3,0.6,0.4,2.1,ROTATION PLAYER
Doral Moore,mooredo01,,C,22.028746,1,0.5,0.3,0.4,0.3,0.6,2.0,MARGINAL PROSPECT
Rudy Gay,gayru01,Spurs,PF,34.461327,,1.1,0.6,0.3,0.1,0.0,2.0,ROTATION PLAYER
Tyler Hall,tyler-hall-2,,SG,22.857632,1,0.1,0.3,0.5,0.5,0.6,2.0,MARGINAL PROSPECT
Thanasis Antetokounmpo,antetth01,Bucks,SF,28.542095,,0.5,0.5,0.5,0.3,0.2,2.0,ROTATION PLAYER
Vasilije Micic,vasilije-micic-1,,PG,21.052704,1,-0.1,0.3,0.6,0.6,0.7,2.0,MARGINAL PROSPECT
Quinton Rose,rosequ01,,SF,23.017111,1,0.1,0.3,0.5,0.6,0.6,2.0,MARGINAL PROSPECT
Yuta Watanabe,watanyu01,Raptors,SF,26.305271,,0.3,0.4,0.5,0.4,0.4,2.0,ROTATION PLAYER
Michael Kidd-Gilchrist,kiddgmi01,Knicks,SF,27.35113,,0.6,0.5,0.3,0.3,0.2,2.0,ROTATION PLAYER
Javonte Green,greenja02,Celtics,SF,27.529089,,0.6,0.5,0.4,0.4,0.2,2.0,ROTATION PLAYER
Derrick Rose,rosede01,Pistons,PG,32.328541,,0.8,0.5,0.4,0.2,0.2,2.0,OFFENSIVE SPECIALIST
Jordan Bell,belljo01,,C,26.069815,,0.5,0.5,0.4,0.3,0.3,2.0,ROTATION PLAYER
Quentin Grimes,quentin-grimes-1,,SG,19.734428,1,0.0,0.2,0.5,0.7,0.7,2.0,MARGINAL PROSPECT
Edmond Sumner,sumneed01,Pacers,SG,25.089664,,0.3,0.4,0.5,0.4,0.4,2.0,SCRUB
Jake Layman,laymaja01,Timberwolves,SF,26.907597,,0.5,0.5,0.4,0.3,0.3,2.0,SCRUB
Jalen Harris,harrija01,Raptors,SG,22.46954,1,-0.1,0.3,0.5,0.6,0.7,1.9,MARGINAL PROSPECT
Jahlil Okafor,okafoja01,Pistons,C,25.133471,,0.3,0.5,0.5,0.3,0.3,1.9,SCRUB
Naz Mitrou-Long,mitrona01,Pacers,SG,27.498974,,0.5,0.5,0.3,0.5,0.2,1.9,<SHRUGGIE>
James Ennis III,ennisja01,Magic,SF,30.590008,,0.9,0.5,0.3,0.2,0.1,1.9,ROTATION PLAYER
Naji Marshall,marshna01,Pelicans,SF,23.022587,1,0.0,0.3,0.4,0.5,0.6,1.9,MARGINAL PROSPECT
Jarred Vanderbilt,vandeja01,Timberwolves,PF,21.83436,,0.1,0.2,0.6,0.5,0.6,1.9,PROJECT
Juwan Morgan,morgaju01,Jazz,PF,23.794661,,0.2,0.4,0.4,0.5,0.3,1.9,PROJECT
Ahmad Caver,ahmad-caver-1,Grizzlies,PG,23.388775,1,0.2,0.4,0.4,0.3,0.5,1.9,MARGINAL PROSPECT
Wesley Matthews,matthwe02,Lakers,SF,34.302532,,1.1,0.5,0.2,0.0,0.0,1.9,ROTATION PLAYER
Ron Baker,bakerro01,,SG,27.843943,,0.4,0.3,0.4,0.6,0.2,1.8,<SHRUGGIE>
Tyler Dorsey,dorsety01,,SG,24.966461,,0.3,0.3,0.4,0.4,0.3,1.8,PROJECT
Quinndary Weatherspoon,weathqu01,Spurs,SG,24.394251,,0.1,0.1,0.3,0.7,0.5,1.8,PROJECT
Damyean Dotson,dotsoda01,Cavaliers,SG,26.743326,,0.4,0.4,0.4,0.3,0.3,1.8,SCRUB
Yoeli Childs,childyo01,Wizards,PF,23.052702,1,0.1,0.2,0.4,0.5,0.6,1.8,MARGINAL PROSPECT
Jared Terrell,terreja01,,SG,25.976728,,0.1,0.2,0.5,0.7,0.3,1.8,SCRUB
Kristian Doolittle,kristian-doolittle-2,,PF,23.288158,1,0.1,0.2,0.4,0.5,0.6,1.8,MARGINAL PROSPECT
Lamine Diane,dianela01,,SF,23.236139,1,0.1,0.3,0.4,0.5,0.5,1.8,MARGINAL PROSPECT
Gabe Vincent,vincega01,Heat,PG,24.635181,,0.2,0.2,0.3,0.6,0.5,1.8,PROJECT
Malcolm Miller,millema01,,SF,27.909651,,0.4,0.4,0.3,0.4,0.2,1.7,ROTATION PLAYER
Facundo Campazzo,campafa01,Nuggets,PG,22.864477,1,0.2,0.3,0.5,0.2,0.5,1.7,MARGINAL PROSPECT
Tyler Lydon,lydonty01,,PF,24.81588,,0.1,0.2,0.6,0.4,0.4,1.7,PROJECT
Rayshaun Hammonds,hammora01,Pacers,SF,22.228609,1,0.0,0.2,0.4,0.5,0.6,1.7,MARGINAL PROSPECT
Jaylen Hoard,hoardja01,,PF,21.845312,,0.1,0.3,0.5,0.6,0.3,1.7,PROJECT
Breein Tyree,breein-tyree-1,Heat,SG,23.052704,1,0.2,0.3,0.4,0.4,0.5,1.7,MARGINAL PROSPECT
Kenyon Martin Jr.,martike04,Rockets,SF,20.071184,1,-0.1,0.1,0.4,0.6,0.7,1.7,MARGINAL PROSPECT
Davon Reed,reedda01,,SG,25.645449,,0.3,0.3,0.4,0.4,0.3,1.7,ROTATION PLAYER
Levi Randolph,randole01,Cavaliers,SF,23.33128,1,0.1,0.3,0.4,0.4,0.5,1.7,MARGINAL PROSPECT
Matt Mooney,moonema01,Cavaliers,SG,22.983572,1,0.1,0.3,0.4,0.4,0.5,1.7,MARGINAL PROSPECT
Vlatko Cancar,cancavl01,Nuggets,SF,20.813826,1,-0.1,0.1,0.5,0.6,0.6,1.7,MARGINAL PROSPECT
Malachi Richardson,richama01,,SG,25.075975,,0.3,0.4,0.4,0.3,0.3,1.6,ROTATION PLAYER
Rayjon Tucker,tuckera01,Clippers,SF,23.356606,,0.3,0.4,0.4,0.3,0.3,1.6,PROJECT
Melvin Frazier Jr.,frazime01,,SF,24.424366,,0.1,0.3,0.5,0.5,0.3,1.6,PROJECT
Kris Wilkes,wilkekr01,,SF,21.371662,1,0.0,0.2,0.4,0.5,0.4,1.6,MARGINAL PROSPECT
